zip,zid,latitude,longitude,cost/rent,status,address,bed,bath,area,zestimate,Type:,Year built:,Heating:,Cooling:,Parking:,Lot:,Price/sqft:,SaleHistory
75206,2090403203,32.835386,-96.776163,"$547,200",New construction,"Buildable plan: Home D, 5300 Glencoe Park, Dallas, TX 75206",3,2,1847,573451,Single Family,2019,No Data,No Data,No Data,No Data,$296,"[{'date': '4/20/2019', 'event': 'Price change', 'price': '$547,200(-7.9%)'}, {'date': '10/19/2018', 'event': 'Price change', 'price': '$594,000(+11.2%)'}, {'date': '3/29/2018', 'event': 'Listed for sale', 'price': '$534,000--'}]"
75206,2090403212,32.835386,-96.776163,"$694,610",New construction,"Buildable plan: Home F2, 5300 Glencoe Park, Dallas, TX 75206",4,3,2630,,Single Family,2019,No Data,No Data,No Data,No Data,$264,
75206,2090403211,32.835386,-96.776163,"$697,545",New construction,"Buildable plan: Home G, 5300 Glencoe Park, Dallas, TX 75206",4,3,2630,,Single Family,2019,No Data,No Data,No Data,No Data,$265,
75206,2084727371,32.833787,-96.776594,"$706,630",New construction,"5349 Ellsworth Ave, Dallas, TX 75206",4,3,2630,662876,Single Family,2018,"Forced air, Heat pump",No Data,Detached Garage,"4,573 sqft",$269,"[{'date': '4/26/2019', 'event': 'Listed for sale', 'price': '$706,630--'}]"
75206,26691860,32.814641,-96.77708,"$1,100,000",New construction,"2231 Madera St, Dallas, TX 75206",4,6,4295,1124040,Single Family,2018,Forced air,Central,2 spaces,"7,492 sqft",$256,"[{'date': '5/16/2019', 'event': 'Price change', 'price': '$1,100,000--'}, {'date': '4/26/2019', 'event': 'Listed for sale', 'price': '$1,100,000(-8.3%)'}, {'date': '11/30/2018', 'event': 'Listing removed', 'price': '$1,199,000--'}, {'date': '11/8/2018', 'event': 'Price change', 'price': '$1,199,000(-6%)'}, {'date': '11/1/2018', 'event': 'Price change', 'price': '$1,274,999(-1.8%)'}]"
75206,26703977,32.832842,-96.76942,"$999,000",New construction,"5712 Kenwood Ave, Dallas, TX 75206",5,5,3535,,Single Family,2019,Forced air,Central,2 spaces,"6,185 sqft",$283,
75206,26690205,32.822291,-96.766281,"$875,000",New construction,"5837 Llano Ave, Dallas, TX 75206",5,4,3636,,Single Family,2018,Forced air,Central,2 spaces,"6,969 sqft",$241,
75206,26691615,32.821576,-96.780406,"$1,150,000",New construction,"5247 Miller Ave, Dallas, TX 75206",4,4,3960,933322,Single Family,2019,Forced air,Central,6 spaces,"8,015 sqft",$290,"[{'date': '5/15/2019', 'event': 'Price change', 'price': '$1,150,000(-4.1%)'}, {'date': '3/23/2019', 'event': 'Listed for sale', 'price': '$1,199,000(-7.8%)'}, {'date': '12/27/2017', 'event': 'Listing removed', 'price': '$1,300,000--'}, {'date': '9/28/2017', 'event': 'Listed for sale', 'price': '$1,300,000--'}]"
75206,26690669,32.820525,-96.77827,"$1,150,000",New construction,"5339 Willis Ave, Dallas, TX 75206",4,6,3857,,Single Family,2019,Forced air,Refrigeration,1 space,"7,797 sqft",$298,
75206,26690848,32.817943,-96.77508,"$389,000",For sale by owner,"5454 Bonita Ave, Dallas, TX 75206",2,2,1800,469225,Single Family,1926,Other,Central,2 spaces,"7,200 sqft",$216,"[{'date': '5/13/2019', 'event': 'Price change', 'price': '$389,000(-2.3%)'}, {'date': '5/11/2019', 'event': 'Price change', 'price': '$398,000(-0.3%)'}, {'date': '3/9/2019', 'event': 'Listed for sale', 'price': '$399,000--'}]"
75206,26690216,32.82358,-96.763342,"$425,000",For sale by owner,"6006 Goodwin Ave, Dallas, TX 75206",3,1,1302,,Single Family,1935,Other,Central,2 spaces,"7,000 sqft",$326,
75206,26690890,32.816564,-96.776606,"$1,199,990",New construction,"5419 Richmond Ave, Dallas, TX 75206",5,6,4684,1068950,Single Family,2019,Forced air,"Central, Refrigeration",Attached Garage,"7,187 sqft",$256,"[{'date': '2/22/2019', 'event': 'Listed for sale', 'price': '$1,199,990(+224.3%)'}, {'date': '3/8/2018', 'event': 'Sold', 'price': '----'}, {'date': '3/8/2018', 'event': 'Listing removed', 'price': '$370,000--'}, {'date': '2/16/2018', 'event': 'Pending sale', 'price': '$370,000--'}, {'date': '2/1/2018', 'event': 'Listed for sale', 'price': '$370,000(-1.3%)'}]"
75206,2085854088,32.834504,-96.77561,"$697,545",New construction,"5424 Anita St, Dallas, TX 75206",4,3,2630,658736,Single Family,2018,"Forced air, Heat pump",No Data,Detached Garage,"4,878 sqft",$265,"[{'date': '2/14/2019', 'event': 'Listed for sale', 'price': '$697,545--'}]"
75206,26691775,32.816695,-96.777878,"$1,099,000",New construction,"5318 Belmont Ave, Dallas, TX 75206",4,45,4083,967720,Single Family,2018,Forced air,Refrigeration,Attached Garage,"7,492 sqft",$269,
75206,26695575,32.824233,-96.782979,"$899,900",New construction,"5138 Vanderbilt Ave, Dallas, TX 75206",4,3,3100,,Single Family,2019,Forced air,Central,2 spaces,"7,230 sqft",$290,
75206,2086432716,32.815996,-96.786902,"$1,050,000",New construction,"4918 Milam St, Dallas, TX 75206",3,35,3000,766865,Single Family,2019,Forced air,No Data,No Data,No Data,$350,"[{'date': '4/25/2019', 'event': 'Price change', 'price': '$1,050,000(-2.3%)'}, {'date': '1/10/2019', 'event': 'Listed for sale', 'price': '$1,075,000--'}]"
