zip,zid,latitude,longitude,cost/rent,status,address,bed,bath,area,zestimate,Type:,Laundry:,Heating:,Cooling:,Pets:,Parking:,SaleHistory
75206,26693520,32.816026,-96.773389,"$2,200",House for rent,"5530 Richmond Ave, Dallas, TX 75206",3,1,1573,,Single Family,No Data,Forced air,Central,"Cats, small dogs",2 spaces,
75206,26689693,32.821742,-96.763509,"$3,240",House for rent,"6002 Llano Ave, Dallas, TX 75206",3,2,1786,,Single Family,In Unit,Forced air,Other,No,2 spaces,
75206,26704782,32.839928,-96.761077,"$2,250",House for rent,"4344 Skillman St, Dallas, TX 75206",2,15,1581,1850,Single Family,In Unit,Forced air,Central,"Cats, small dogs",2 spaces,"[{'date': '5/15/2019', 'event': 'Listed for rent', 'price': '$2,250--'}, {'date': '5/3/2018', 'event': 'Listing removed', 'price': '$2,250--'}, {'date': '4/18/2018', 'event': 'Listed for rent', 'price': '$2,250--'}]"
75206,26703632,32.836264,-96.763522,"$2,350",House for rent,"6018 E Mockingbird Ln, Dallas, TX 75206",3,3,1600,1970,Single Family,No Data,Forced air,Other,"Cats, small dogs",2 spaces,"[{'date': '5/14/2019', 'event': 'Listed for rent', 'price': '$2,350--'}, {'date': '7/20/2015', 'event': 'Sold', 'price': '----'}, {'date': '6/8/2015', 'event': 'Pending sale', 'price': '$225,000--'}, {'date': '6/6/2015', 'event': 'Listed for sale', 'price': '$225,000--'}]"
75206,2084461206,32.82991,-96.77472,"$5,200",House for rent,"Mccommas Blvd, Dallas, TX 75206",3,2,1750,,Single Family,In Unit,Forced air,Other,"Cats, large dogs, small dogs","Off street, Attached Garage",
75206,26692283,32.81787,-96.786008,"$2,600",House for rent,"5041 Milam St, Dallas, TX 75206",2,1,1510,,Single Family,In Unit,Forced air,Other,"Cats, small dogs",1 space,
75206,248830009,32.826303,-96.783088,"$4,150",House for rent,"5126 Monticello Ave, Dallas, TX 75206",4,35,2164,,Single Family,In Unit,Forced air,Central,"Cats, small dogs",1 space,
75206,26691917,32.814286,-96.773201,"$2,900",House for rent,"1926 Euclid Ave, Dallas, TX 75206",2,25,8247,,Single Family,No Data,Forced air,Refrigeration,Contact manager,2 spaces,
75206,26703855,32.836233,-96.764335,"$2,100",House for rent,"5930 E Mockingbird Ln, Dallas, TX 75206",3,1,1450,,Single Family,In Unit,Forced air,Other,"Cats, small dogs",2 spaces,
75206,26704141,32.834381,-96.772008,"$4,500",House for rent,"5602 Anita St, Dallas, TX 75206",4,45,3089,,Single Family,No Data,Forced air,Other,No,2 spaces,
75206,26690993,32.822687,-96.781544,"$3,200",House for rent,"5219 Vickery Blvd, Dallas, TX 75206",3,1,1518,2495,Single Family,No Data,Forced air,Central,"Cats, small dogs",2 spaces,"[{'date': '5/6/2019', 'event': 'Listed for rent', 'price': '$3,200(+8.5%)'}, {'date': '6/2/2018', 'event': 'Listing removed', 'price': '$2,950--'}, {'date': '4/24/2018', 'event': 'Listed for rent', 'price': '$2,950(+3.5%)'}, {'date': '6/6/2017', 'event': 'Listing removed', 'price': '$2,850--'}, {'date': '6/3/2017', 'event': 'Price change', 'price': '$2,850(-3.4%)'}]"
75206,26732231,32.83773,-96.767231,"$2,400",House for rent,"5811 Palm Ln, Dallas, TX 75206",2,2,1257,,Single Family,In Unit,Forced air,Central,"Cats, small dogs",1 space,
75206,26898464,32.813539,-96.766378,"$3,195",House for rent,"5844 Oram St, Dallas, TX 75206",3,25,2129,,Single Family,No Data,Forced air,Central,"Cats, small dogs",2 spaces,
75206,26704662,32.838012,-96.763174,"$2,500",House for rent,"4242 Camden Ave, Dallas, TX 75206",3,15,1532,,Single Family,In Unit,Forced air,Other,"Cats, small dogs",2 spaces,
75206,26690548,32.823199,-96.777577,"$2,800",House for rent,"5354 Goodwin Ave, Dallas, TX 75206",3,1,1570,,Single Family,No Data,Forced air,Central,"Cats, small dogs",2 spaces,
75206,2128777270,32.820808,-96.769988,"$1,590",House for rent,"5700 Velasco Ave, Dallas, TX 75206",2,1,1100,,Single Family,In Unit,Forced air,Central,"Cats, large dogs, small dogs",No Data,
75206,26703544,32.830565,-96.761738,"$2,800",House for rent,"6054 Revere Pl, Dallas, TX 75206",2,3,1600,2700,Single Family,In Unit,Forced air,Other,"Cats, large dogs, small dogs",2 spaces,"[{'date': '5/2/2019', 'event': 'Listed for rent', 'price': '$2,800--'}, {'date': '6/14/2018', 'event': 'Listing removed', 'price': '$2,800--'}, {'date': '6/9/2018', 'event': 'Price change', 'price': '$2,800(+7.7%)'}, {'date': '5/22/2018', 'event': 'Price change', 'price': '$2,600(-7.1%)'}, {'date': '3/10/2018', 'event': 'Price change', 'price': '$2,800(-6.7%)'}]"
