zip,zid,latitude,longitude,cost/rent,status,address,bed,bath,area,zestimate,Type:,Year built:,Heating:,Cooling:,Parking:,Lot:,Price/sqft:,SaleHistory
75206,26732202,32.837248,-96.766876,"$378,900",For sale,"5820 Palm Ln, Dallas, TX 75206",3,2,1283,388433,Single Family,1945,Forced air,Central,1 space,"6,708 sqft",$295,"[{'date': '5/21/2019', 'event': 'Listed for sale', 'price': '$378,900(-2.6%)'}, {'date': '3/29/2019', 'event': 'Listing removed', 'price': '$388,900--'}, {'date': '3/21/2019', 'event': 'Price change', 'price': '$388,900(-2.4%)'}, {'date': '1/30/2019', 'event': 'Price change', 'price': '$398,500(-2.8%)'}, {'date': '1/7/2019', 'event': 'Price change', 'price': '$409,900(-1.2%)'}]"
75206,69674910,32.814774,-96.775611,"$699,000",For sale,"2020 Cullen Dr, Dallas, TX 75206",4,3,2201,430309,Single Family,2005,Forced air,Central,2 spaces,"7,492 sqft",$318,"[{'date': '5/21/2019', 'event': 'Listed for sale', 'price': '$699,000(+115.1%)'}, {'date': '7/23/2013', 'event': 'Sold', 'price': '----'}, {'date': '6/1/2013', 'event': 'Listed for sale', 'price': '$325,000(-1.5%)'}, {'date': '6/23/2012', 'event': 'Listing removed', 'price': '$330,000--'}, {'date': '5/1/2012', 'event': 'Listed for sale', 'price': '$330,000--'}]"
75206,26704474,32.829318,-96.778761,"$1,050,000",For sale,"5323 Morningside Ave, Dallas, TX 75206",4,3,3703,974180,Single Family,2010,Forced air,Central,2 spaces,"7,797 sqft",$284,"[{'date': '5/20/2019', 'event': 'Listed for sale', 'price': '$1,050,000(+16.8%)'}, {'date': '4/13/2016', 'event': 'Listing removed', 'price': '$899,000--'}, {'date': '3/17/2016', 'event': 'Pending sale', 'price': '$899,000--'}, {'date': '3/2/2016', 'event': 'Price change', 'price': '$899,000(-3.2%)'}, {'date': '2/11/2016', 'event': 'Listed for sale', 'price': '$929,000--'}]"
75206,26689867,32.816383,-96.766228,"$399,900",For sale,"5843 Richmond Ave, Dallas, TX 75206",3,2,1891,,Single Family,1926,Forced air,Central,1 space,"9,147 sqft",$211,
75206,26692175,32.817527,-96.784898,"$625,000",For sale,"5103 Alcott St, Dallas, TX 75206",3,4,2148,578216,Single Family,1940,Forced air,Central,2 spaces,"5,227 sqft",$291,"[{'date': '5/17/2019', 'event': 'Listed for sale', 'price': '$625,000--'}, {'date': '4/11/2019', 'event': 'Listed for sale', 'price': '$625,000(+25.3%)'}, {'date': '8/14/2015', 'event': 'Sold', 'price': '----'}, {'date': '7/31/2015', 'event': 'Pending sale', 'price': '$499,000--'}, {'date': '6/27/2015', 'event': 'Listed for sale', 'price': '$499,000(+16%)'}]"
75206,60346525,32.824244,-96.77876,"$940,000",For sale,"5328 Vanderbilt Ave, Dallas, TX 75206",4,5,3270,923319,Single Family,2005,Forced air,Central,2 spaces,"7,230 sqft",$287,"[{'date': '5/17/2019', 'event': 'Listed for sale', 'price': '$940,000(+33.3%)'}, {'date': '2/26/2014', 'event': 'Sold', 'price': '$705,000--'}, {'date': '1/23/2014', 'event': 'Listed for sale', 'price': '$705,000(+8.5%)'}, {'date': '8/13/2012', 'event': 'Sold', 'price': '----'}, {'date': '6/1/2012', 'event': 'Price change', 'price': '$650,000(-3.7%)'}]"
75206,26690726,32.819975,-96.774943,"$485,000",For sale,"5458 Willis Ave, Dallas, TX 75206",3,2,1434,484943,Single Family,1930,Forced air,Central,2 spaces,"7,797 sqft",$338,"[{'date': '5/16/2019', 'event': 'Listed for sale', 'price': '$485,000(+13.1%)'}, {'date': '7/15/2016', 'event': 'Sold', 'price': '----'}, {'date': '6/4/2016', 'event': 'Pending sale', 'price': '$429,000--'}, {'date': '6/2/2016', 'event': 'Back on market', 'price': '$429,000--'}, {'date': '5/28/2016', 'event': 'Pending sale', 'price': '$429,000--'}]"
75206,26695585,32.823763,-96.783302,"$590,000",For sale,"5137 Goodwin Ave, Dallas, TX 75206",3,3,2057,615126,Single Family,1926,Forced air,"Central, Other",1 space,"8,189 sqft",$287,"[{'date': '5/15/2019', 'event': 'Listed for sale', 'price': '$590,000--'}, {'date': '5/25/2018', 'event': 'Listing removed', 'price': '$3,800--'}, {'date': '5/6/2018', 'event': 'Listed for rent', 'price': '$3,800--'}, {'date': '12/1/2016', 'event': 'Listing removed', 'price': '$500,000--'}, {'date': '11/10/2016', 'event': 'Price change', 'price': '$500,000(-4.8%)'}]"
75206,26695621,32.825733,-96.783135,"$349,900",For sale,"5135 Ridgedale Ave, Dallas, TX 75206",2,2,1154,371091,Single Family,1926,Forced air,Central,1 space,"7,230 sqft",$303,"[{'date': '5/15/2019', 'event': 'Listed for sale', 'price': '$349,900--'}]"
75206,26690640,32.821596,-96.778126,"$430,000",For sale,"5343 Miller Ave, Dallas, TX 75206",3,2,1584,,Single Family,1920,"Forced air, Other",Central,On street,"7,840 sqft",$271,
